tstamp,McLaren,Ferrari,Red Bull,Mercedes,Aston Martin
2025-02-23 14:30:45.282558,0.37117833137093836,0.37117833137093836,0.1670302491169223,0.06424240350650857,0.016375514619306104
2025-02-23 14:32:10.173697,0.37117833137093836,0.37117833137093836,0.1670302491169223,0.06424240350650857,0.016375514619306104
2025-02-24 07:05:11.253017,0.37117833137093836,0.37117833137093836,0.1670302491169223,0.06424240350650857,0.016375514619306104
2025-02-24 18:31:04.890677,0.37117833137093836,0.37117833137093836,0.1670302491169223,0.06424240350650857,0.016375514619306104
2025-02-24 18:38:08.606578,0.37117833137093836,0.37117833137093836,0.1670302491169223,0.06424240350650857,0.016375514619306104
2025-02-25 07:05:11.329187,0.37117833137093836,0.37117833137093836,0.1670302491169223,0.06424240350650857,0.016375514619306104
2025-02-26 07:05:09.463479,0.37117833137093836,0.37117833137093836,0.1670302491169223,0.06424240350650857,0.016375514619306104
2025-03-01 07:05:11.258019,0.37117833137093836,0.37117833137093836,0.1670302491169223,0.06424240350650857,0.016375514619306104
2025-03-02 07:05:08.700058,0.3828769873679807,0.3629007967226948,0.16366114362003883,0.06420552557401524,0.016366114362003883
2025-03-03 07:05:09.756529,0.3828769873679807,0.3629007967226948,0.16366114362003883,0.06420552557401524,0.016366114362003883
2025-03-04 07:05:19.912130,0.4747658300903212,0.3323360810632249,0.10800922634554809,0.05760492071762565,0.01694262374047813
2025-03-05 07:05:09.671573,0.48031034448781773,0.32882785122627517,0.10686905164853944,0.056996827545887696,0.016763772807614027
2025-03-06 07:05:08.621607,0.4848326818227212,0.32142611128247073,0.10848131255783387,0.057856700030844734,0.017016676479660216
2025-03-07 07:05:09.750371,0.48643173494625924,0.3224862242791867,0.10554094612773383,0.05804752037025361,0.01707280010889812
2025-03-08 07:05:08.694411,0.4839717976229578,0.3397292226451351,0.0911904755521152,0.05775396784967296,0.016986461132256755
2025-03-09 07:05:11.536439,0.4889309643893579,0.336610163944981,0.09212488697441586,0.05469915164105942,0.017160518161900996
2025-03-10 07:05:07.672260,0.49731763588661243,0.33664578429247605,0.08977220914466028,0.04862661328669098,0.017162334101185055
2025-03-11 07:05:09.650700,0.489400609971429,0.33693349686494534,0.09733634353876199,0.04866817176938099,0.017177001800958
2025-03-12 07:05:09.815230,0.4758811742167033,0.33860775857726966,0.11004752153761266,0.05178706895887654,0.013140002571655242
2025-03-12 15:29:37.620532,0.4758811742167033,0.33860775857726966,0.11004752153761266,0.05178706895887654,0.013140002571655242
2025-03-13 20:29:30.689684,0.4789818072016532,0.3408139782011763,0.10424898156741866,0.05212449078370933,0.013225617064523262
2025-03-14 07:05:11.126785,0.47855540622966153,0.3471872554999506,0.09836972239165266,0.05207808832499259,0.013213843306341403
2025-03-15 07:05:07.991947,0.4585568903576788,0.3512350649548178,0.1138486072612168,0.055026826842921456,0.006550812719395411
2025-03-16 07:05:11.067803,0.5476828334582179,0.3031815685215135,0.08084841827240359,0.04467938904527567,0.006737368189366966
2025-03-17 07:05:08.255621,0.6406633228031834,0.2158023824179144,0.08410759519877689,0.03904995491371784,0.004079846035761566
2025-03-18 07:05:10.872877,0.6516394773908029,0.2092105690570472,0.08153847819659277,0.03785715059127521,0.003955224688640694
2025-03-18 17:08:23.565585,0.6516394773908029,0.2092105690570472,0.08153847819659277,0.03785715059127521,0.003955224688640694
2025-03-18 17:32:23.228810,0.6516394773908029,0.2092105690570472,0.08153847819659277,0.03785715059127521,0.003955224688640694
2025-03-19 07:05:08.388491,0.6516394773908029,0.2092105690570472,0.08153847819659277,0.03785715059127521,0.003955224688640694
2025-03-20 07:05:19.560022,0.6535055062406551,0.20808991119768228,0.0811017089796095,0.03765436488339013,0.0039340381221452374
2025-03-20 13:50:01.669892,0.6535055062406551,0.20808991119768228,0.0811017089796095,0.03765436488339013,0.0039340381221452374
2025-03-21 07:05:08.858727,0.6535055062406551,0.20808991119768228,0.0811017089796095,0.03765436488339013,0.0039340381221452374
2025-03-21 10:56:21.714957,0.6535055062406551,0.20808991119768228,0.0811017089796095,0.03765436488339013,0.0039340381221452374
2025-03-23 06:19:45.745447,0.7230614330374948,0.1826681515042092,0.033372066140192065,0.04131779617357113,0.003456867408944198
2025-03-23 12:12:41.651930,0.7281024240857003,0.17934312340637246,0.03276460908385651,0.04056570648477472,0.0033939435704393194
2025-03-23 12:29:32.263396,0.7281024240857003,0.17934312340637246,0.03276460908385651,0.04056570648477472,0.0033939435704393194
2025-03-23 12:35:11.732078,0.7281024240857003,0.17934312340637246,0.03276460908385651,0.04056570648477472,0.0033939435704393194
2025-03-24 18:39:53.267391,0.78465846061974,0.1150832408908952,0.041101157461033995,0.041101157461033995,0.003438742257696072
2025-03-24 20:52:56.671320,0.78465846061974,0.1150832408908952,0.041101157461033995,0.041101157461033995,0.003438742257696072
2025-03-25 07:08:20.408482,0.78465846061974,0.1150832408908952,0.041101157461033995,0.041101157461033995,0.003438742257696072
2025-03-25 09:25:06.808218,0.78465846061974,0.1150832408908952,0.041101157461033995,0.041101157461033995,0.003438742257696072
2025-03-25 20:05:09.527008,0.7861975605556223,0.11426071213408377,0.04080739719074421,0.04080739719074421,0.0034141647052017064
2025-03-26 07:05:07.985602,0.7861975605556223,0.11426071213408377,0.04080739719074421,0.04080739719074421,0.0034141647052017064
2025-03-26 20:05:09.499673,0.8056710613512764,0.10036359507118758,0.03377620987972659,0.041818164612994826,0.003498730903876061
2025-03-27 07:05:09.264343,0.8056710613512764,0.10036359507118758,0.03377620987972659,0.041818164612994826,0.003498730903876061
2025-03-27 19:47:29.171102,0.8056710613512764,0.10036359507118758,0.03377620987972659,0.041818164612994826,0.003498730903876061
2025-03-28 07:05:09.121364,0.8056710613512764,0.10036359507118758,0.03377620987972659,0.041818164612994826,0.003498730903876061
2025-03-28 08:24:24.739410,0.8056710613512764,0.10036359507118758,0.03377620987972659,0.041818164612994826,0.003498730903876061
2025-03-28 09:47:36.036243,0.8056710613512764,0.10036359507118758,0.03377620987972659,0.041818164612994826,0.003498730903876061
2025-03-28 10:10:52.910689,0.8056710613512764,0.10036359507118758,0.03377620987972659,0.041818164612994826,0.003498730903876061
2025-03-28 10:29:02.997442,0.8056710613512764,0.10036359507118758,0.03377620987972659,0.041818164612994826,0.003498730903876061
2025-03-28 12:00:56.898674,0.8056710613512764,0.10036359507118758,0.03377620987972659,0.041818164612994826,0.003498730903876061
2025-03-28 13:13:19.229131,0.8056710613512764,0.10036359507118758,0.03377620987972659,0.041818164612994826,0.003498730903876061
2025-03-28 13:55:29.632797,0.8056710613512764,0.10036359507118758,0.03377620987972659,0.041818164612994826,0.003498730903876061
2025-03-29 07:05:06.815243,0.8056710613512764,0.10036359507118758,0.03377620987972659,0.041818164612994826,0.003498730903876061
2025-03-29 11:09:06.498936,0.8056710613512764,0.10036359507118758,0.03377620987972659,0.041818164612994826,0.003498730903876061
2025-03-30 07:05:07.425673,0.8056710613512764,0.10036359507118758,0.03377620987972659,0.041818164612994826,0.003498730903876061
2025-03-30 20:09:48.171139,0.8056710613512764,0.10036359507118758,0.03377620987972659,0.041818164612994826,0.003498730903876061
2025-03-31 07:05:09.952882,0.8056710613512764,0.10036359507118758,0.03377620987972659,0.041818164612994826,0.003498730903876061
2025-04-01 07:05:08.050561,0.8056710613512764,0.10036359507118758,0.03377620987972659,0.041818164612994826,0.003498730903876061
2025-04-01 13:16:20.396927,0.8056710613512764,0.10036359507118758,0.03377620987972659,0.041818164612994826,0.003498730903876061
2025-04-01 15:55:24.935753,0.8056710613512764,0.10036359507118758,0.03377620987972659,0.041818164612994826,0.003498730903876061
2025-04-01 17:07:54.252838,0.8056710613512764,0.10036359507118758,0.03377620987972659,0.041818164612994826,0.003498730903876061
2025-04-02 07:05:07.119191,0.8056710613512764,0.10036359507118758,0.03377620987972659,0.041818164612994826,0.003498730903876061
2025-04-03 06:47:42.840644,0.8056710613512764,0.10036359507118758,0.03377620987972659,0.041818164612994826,0.003498730903876061
2025-04-03 07:05:09.842718,0.8056710613512764,0.10036359507118758,0.03377620987972659,0.041818164612994826,0.003498730903876061
2025-04-03 10:49:01.927764,0.8056710613512764,0.10036359507118758,0.03377620987972659,0.041818164612994826,0.003498730903876061
2025-04-03 15:14:32.256171,0.8056710613512764,0.10036359507118758,0.03377620987972659,0.041818164612994826,0.003498730903876061
2025-04-03 16:50:13.349708,0.8056710613512764,0.10036359507118758,0.03377620987972659,0.041818164612994826,0.003498730903876061
2025-04-04 07:05:09.652641,0.8028085122480959,0.10184199412518703,0.03427374802289949,0.04243416421882793,0.003550268719503532
2025-04-07 06:11:52.793464,0.8405839971384134,0.052907345702241315,0.052907345702241315,0.04282975604467154,0.0017952592354053937
